(X,Z,SeedCount)
-9720,-3344,263
3494,-3827,262
3829,-334,262
4512,-4903,262
2844,5366,262
-2950,-7706,262
-8768,1305,262
9580,-7026,262
7392,-9834,262
5981,-1706,261
3365,-6443,261
8306,737,261
976,9250,261
9715,1980,261
5362,-2861,260
-5859,4984,260
784,6722,260
1272,-6726,260
7030,-1001,260
-6611,-8478,260
-7101,-9452,260
3594,2954,259
-4356,-149,259
5348,-3306,259
5427,2578,259
5231,6116,259
162,6921,259
-7334,1394,259
-1504,7713,259
-1247,-727,258
3593,3729,258
-2161,-4021,258
4414,-2958,258
-2066,-6443,258
-7853,6925,258
4154,9931,258
1210,3850,257
6082,-3727,257
6441,-3345,257
127,9346,257
3725,9735,257
-168,913,256
879,-2093,256
3923,-4015,256
5657,-148,256
-6123,5670,256
-5889,8378,256
-4487,-8483,256
8768,-7178,256
9584,-1209,256
3712,435,255
-5108,148,255
7399,3429,255
-664,-7410,255
9458,-2175,255
9646,-9640,255
-9656,2377,255
2613,-9735,255
3171,2579,254
5428,-4198,254
2091,5861,254
1729,6540,254
-7233,4499,254
-7854,4012,254
4578,9643,254
-300,4600,253
5427,614,253
-2230,6340,253
66,6439,253
-3762,6643,253
4023,-7519,253
7781,-6642,253
4084,-8381,253
796,-9410,253
-753,3236,252
-3274,-6941,252
-7627,1303,252
-8214,1116,252
-8703,-4315,252
9563,1264,252
197,9733,252
-884,-1592,251
-5658,-6058,251
-6612,4899,251
6673,-4804,251
-6286,-6924,251
7294,3253,251
4376,7310,251
-7854,-5673,251
747,-1710,250
-2422,-5670,250
2831,5673,250
-5399,-6056,250
-6611,1310,250
6674,4788,250
-6217,-7511,250
-3438,8087,250
5950,-4699,249
5914,-6542,249
-5762,6742,249
7423,6531,249
-7854,5279,249
5326,8966,249
-9853,6046,249
-1708,-1407,248
2441,-1446,248
-1181,3050,248
-5761,3729,248
-4159,7310,248
-7626,-1505,248
-7981,4762,248
8263,8474,248
9390,-6726,248
4938,-9923,248
-2035,50,247
1600,-4115,247
-5516,2074,247
-6286,6827,247
-8311,-8780,247
-2,-9147,247
7061,-9634,247
-2328,-2181,246
-427,-3150,246
393,-5469,246
-5761,8280,246
-4356,-8480,246
-8509,-9054,246
-9684,3145,246
8524,-9734,246
4184,-4214,245
-461,-5570,245
4902,6742,245
1210,8381,245
3334,-9150,245
2192,-9246,245
3269,9444,245
-4682,-4115,244
-395,-5083,244
-2523,-5672,244
-888,-6544,244
-2062,-8376,244
8634,8874,244
-9297,433,244
-2195,2476,243
291,-3642,243
-2653,-3830,243
5327,-1988,243
-6187,-4023,243
-6840,3732,243
-8347,-7612,243
8764,1020,243
-4125,-9640,243
9753,-2032,243
1928,900,242
685,3342,242
3402,6541,242
6993,-4599,242
2255,-7319,242
-7919,6926,242
7241,-8439,242
3531,-1302,241
4100,-4560,241
-6795,-1406,241
5886,-6925,241
-7556,2074,241
-7854,8763,241
-6477,1991,240
8440,8561,240
-2422,-8970,240
-233,3728,239
-8312,8082,239
-4386,-8579,239
7915,8963,239
2418,-4989,238
5719,1991,238
-2421,6638,238
7557,-7999,238
3693,-8279,238
-3732,-1506,237
-3175,-5185,237
-5793,6157,237
4905,-6254,237
555,-7521,237
-7988,1890,237
-9323,7511,237
2093,-9826,237
-1968,-4318,236
6803,-3050,236
-7398,7024,236
8438,-4025,236
-5291,8462,236
-8119,-8577,236
1633,-9543,236
9811,-918,236
-7140,-6156,235
7424,1494,235
-775,-7511,235
8829,-1465,235
-4032,-1690,234
4610,2757,234
-3177,4895,234
-5514,-1264,234
5688,2275,234
-6741,719,234
-788,7024,234
7621,6058,234
9846,-3723,234
-9884,-5590,234
-3111,-2664,233
-3113,2377,233
-3144,1600,233
3530,-4223,233
4282,3641,233
-2849,-5377,233
-6384,4609,233
915,6723,233
-6972,-255,233
4905,9047,233
-3206,-1017,232
-886,3332,232
453,-3826,232
-4483,4793,232
-5858,-3246,232
6604,-5860,232
-2394,-7121,232
4281,-7510,232
-7822,-5668,232
6540,9350,232
9351,-1202,232
-2361,-2957,231
1830,4112,231
5134,5954,231
2384,-6542,231
5163,6927,231
3767,-6966,231
-7759,-5574,231
-7984,-237,231
-7855,-8386,231
8895,-9733,231
-9851,7595,231
-3884,3528,230
6747,-8646,230
-9358,4500,230
-7463,-9639,230
521,-2280,229
3444,-1593,229
4086,-2862,229
7163,-1888,229
1374,7207,229
-7986,-3343,229
-8379,-148,229
6576,-8680,229
6672,9453,229
-9589,8770,229
-2099,-3246,228
-5239,-5955,228
-6315,3729,228
946,6723,228
-7460,-6056,228
8373,-2172,228
8555,-1871,228
-8902,-5388,228
-2129,924,227
-4943,-1793,227
5428,5179,227
291,6834,227
-7233,6338,227
7686,2662,227
-9520,-9733,227
-5369,-9733,227
-9232,-9738,227
5197,818,226
685,-7510,226
7651,-49,226
-424,7653,226
-4389,-7693,226
-7854,-4599,226
-7855,7411,226
2095,8379,226
6733,9735,226
7313,-2982,225
-4025,8564,225
2909,-633,224
5201,-4695,224
-3664,-7120,224
7268,-3246,224
-8737,-1304,224
-9655,-2570,224
-9754,-9449,224
-4424,-9774,224
-1051,4413,223
-3961,-6637,223
-5561,8377,223
-9065,-4404,223
-5501,9147,223
9486,-1606,223
-163,-9733,223
163,-2862,222
-723,-3536,222
4087,434,222
4091,820,222
3282,-5207,222
-6089,4118,222
-6973,6643,222
1929,-7028,222
2093,7122,222
5558,-7324,222
-5860,-7797,222
2450,-8480,222
8768,-3446,222
9059,-7188,222
9483,-7028,222
-4486,-2958,221
-5140,-4593,221
-5856,-5669,221
-2098,-6827,221
2242,-7410,221
7820,-6727,221
-7854,7411,221
8897,6722,221
5396,-9733,221
9910,-3630,221
